시군구,단지명,전용면적(평),계약년월,계약일,거래금액(만원),층,건축년도,구,동,유형,계약월,계약요일,평당금액
서울특별시 강남구 개포동,성원대치2단지아파트,10.05,202204,2022.4.18,110000,9,1992,강남구,개포동,소형,4,월,10945.27
서울특별시 강남구 개포동,성원대치2단지아파트,10.05,202206,2022.6.1,108000,15,1992,강남구,개포동,소형,6,수,10746.27
서울특별시 강남구 개포동,성원대치2단지아파트,10.05,202206,2022.6.30,95000,4,1992,강남구,개포동,소형,6,목,9452.74
서울특별시 강남구 개포동,성원대치2단지아파트,15.11,202207,2022.7.4,150000,8,1992,강남구,개포동,소형,7,월,9927.2
서울특별시 강남구 개포동,성원대치2단지아파트,11.98,202207,2022.7.9,130500,6,1992,강남구,개포동,소형,7,토,10893.16
서울특별시 강남구 개포동,성원대치2단지아파트,15.11,202208,2022.8.10,133000,1,1992,강남구,개포동,소형,8,수,8802.12
서울특별시 강남구 개포동,성원대치2단지아파트,15.11,202208,2022.8.31,136000,14,1992,강남구,개포동,소형,8,수,9000.66
서울특별시 강남구 개포동,성원대치2단지아파트,10.05,202209,2022.9.24,92000,12,1992,강남구,개포동,소형,9,토,9154.23
서울특별시 강남구 개포동,성원대치2단지아파트,10.05,202210,2022.10.18,88000,8,1992,강남구,개포동,소형,10,화,8756.22
서울특별시 강남구 개포동,성원대치2단지아파트,11.98,202211,2022.11.15,102500,3,1992,강남구,개포동,소형,11,화,8555.93
서울특별시 강남구 개포동,성원대치2단지아파트,10.05,202211,2022.11.16,84700,13,1992,강남구,개포동,소형,11,수,8427.86
서울특별시 강남구 개포동,성원대치2단지아파트,15.11,202212,2022.12.23,104000,4,1992,강남구,개포동,소형,12,금,6882.86
서울특별시 강남구 개포동,성원대치2단지아파트,15.11,202212,2022.12.23,104000,4,1992,강남구,개포동,소형,12,금,6882.86
서울특별시 강남구 개포동,우성8,24.12,202204,2022.4.27,240000,6,1987,강남구,개포동,중형,4,수,9950.25
서울특별시 강남구 개포동,현대1차101동~106동,28.91,202201,2022.1.5,275000,2,1984,강남구,개포동,중대형,1,수,9512.28
서울특별시 강남구 개포동,현대2,25.7,202201,2022.1.15,272000,8,1986,강남구,개포동,중형,1,토,10583.66
서울특별시 강남구 개포동,현대2,25.7,202203,2022.3.30,265000,7,1986,강남구,개포동,중형,3,수,10311.28
서울특별시 강남구 개포동,현대2,39.95,202204,2022.4.21,291500,3,1986,강남구,개포동,대형,4,목,7296.62
서울특별시 강남구 논현동,e-편한세상,39.36,202204,2022.4.5,192000,10,2005,강남구,논현동,대형,4,화,4878.05
서울특별시 강남구 논현동,거평프리젠,9.95,202201,2022.1.15,40000,6,1996,강남구,논현동,소형,1,토,4020.1
서울특별시 강남구 논현동,거평프리젠,11.83,202205,2022.5.27,54000,7,1996,강남구,논현동,소형,5,금,4564.67
서울특별시 강남구 논현동,거평프리젠,9.16,202205,2022.5.30,40000,11,1996,강남구,논현동,소형,5,월,4366.81
서울특별시 강남구 논현동,경남논현,25.37,202206,2022.6.21,131000,5,1996,강남구,논현동,중형,6,화,5163.58
서울특별시 강남구 논현동,그랑디오스,40.29,202201,2022.1.8,159140,5,2004,강남구,논현동,대형,1,토,3949.86
서울특별시 강남구 논현동,그랑디오스,40.29,202201,2022.1.8,159140,5,2004,강남구,논현동,대형,1,토,3949.86
서울특별시 강남구 논현동,논현동한화꿈에그린,20.51,202205,2022.5.26,85600,2,2005,강남구,논현동,중형,5,목,4173.57
서울특별시 강남구 논현동,논현아이파크,14.38,202202,2022.2.23,100000,7,2020,강남구,논현동,소형,2,수,6954.1
서울특별시 강남구 논현동,논현아이파크,25.72,202209,2022.9.2,195000,19,2020,강남구,논현동,중형,9,금,7581.65
서울특별시 강남구 논현동,더원센트럴,8.17,202205,2022.5.18,49500,5,2018,강남구,논현동,소형,5,수,6058.75
서울특별시 강남구 논현동,동부센트레빌,25.75,202204,2022.4.26,198000,19,2003,강남구,논현동,중형,4,화,7689.32
서울특별시 강남구 논현동,동부센트레빌,25.75,202206,2022.6.11,192000,8,2003,강남구,논현동,중형,6,토,7456.31
서울특별시 강남구 논현동,동양파라곤,47.7,202201,2022.1.18,320000,7,2004,강남구,논현동,대형,1,화,6708.6
